index,code,work_date,md_13,n_d13,p_d13,cls_13,cls_17,cls_25,ec_13,ec_17,ec_25,sc_13,sc_17,sc_25,high,low,pclose,pctchg,close,hec,hsc,df13,chr,hhr,clr,llr
1875,sz.000953,2021-12-16,2021-12-13,3,6,2,1,2,4.84,4.84,4.84,4.52,4.52,4.2,4.85,4.72,4.8,0.625,4.83,4.84,4.52,N,-0.208,0.208,6.458,4.167
1885,sz.000966,2021-12-16,2021-12-15,1,29,4,6,6,8.07,8.07,8.07,7.31,7.06,7.06,8.2,8.02,8.07,-0.248,8.05,8.07,7.31,N,-0.248,1.611,9.17,8.798
1895,sz.000977,2021-12-16,2021-12-15,1,8,9,7,6,35.23,35.23,35.23,32.32,32.32,30.6,35.32,34.72,35.23,-0.369,35.1,35.23,32.32,N,-0.369,0.255,7.891,6.812
1907,sz.000995,2021-12-16,2021-12-15,1,15,5,5,6,28.53,28.53,28.53,23.13,22.52,22.52,29.1,27.4,28.53,-3.54,27.52,28.53,23.13,N,-3.54,1.998,15.387,14.967
1932,sz.002016,2021-12-16,2021-12-15,1,16,3,1,1,5.8,5.8,5.8,4.9,4.9,4.81,5.9,5.65,5.8,-2.069,5.68,5.8,4.9,N,-2.069,1.724,13.448,12.931
1943,sz.002028,2021-12-16,2021-12-15,1,5,9,9,9,57.5,57.5,57.5,49.6,49.4,39.41,57.8,55.09,57.5,-2.348,56.15,57.5,49.6,N,-2.348,0.522,11.391,9.548
1954,sz.002039,2021-12-16,2021-12-09,7,28,7,8,8,22.13,22.13,22.13,17.18,17.18,17.18,23,20.66,21.16,3.875,21.98,22.13,17.18,N,-0.709,4.112,22.684,16.446
1960,sz.002045,2021-12-16,2021-12-16,0,9,7,7,9,14.73,14.73,15.3,12.64,12.64,10.39,15.36,14.61,14.61,0.821,14.73,15.3,12.64,Y,-3.901,0.411,14.305,13.484
1968,sz.002053,2021-12-16,2021-12-15,1,16,6,7,7,9.2,9.2,9.2,8.56,8.55,8.15,9.37,9.06,9.2,-0.217,9.18,9.2,8.56,N,-0.217,1.848,6.739,5.435
1972,sz.002057,2021-12-16,2021-12-07,9,8,-8,-8,8,8.27,8.27,9.47,9.47,9.47,6.74,9.75,9.23,9.45,-0.423,9.41,9.47,9.47,N,-0.635,2.963,-0.635,-2.54
1974,sz.002059,2021-12-16,2021-12-15,1,16,3,4,2,5.05,5.05,5.05,4.72,4.72,4.6,5.09,4.95,5.05,-1.188,4.99,5.05,4.72,N,-1.188,0.792,5.347,4.554
1975,sz.002060,2021-12-16,2021-12-15,1,16,8,8,8,5.92,5.92,5.92,5.29,4.62,4.58,6.02,5.82,5.92,-0.676,5.88,5.92,5.29,N,-0.676,1.689,9.966,8.953
1978,sz.002063,2021-12-16,2021-12-15,1,8,9,7,5,9.87,9.87,9.87,8.18,7.77,6.79,10.08,9.62,9.87,-0.507,9.82,9.87,8.18,N,-0.507,2.128,16.616,14.59
1982,sz.002067,2021-12-16,2021-12-02,14,3,5,6,6,4.04,4.04,4.04,3.76,3.67,3.67,4.07,4,4.03,-0.496,4.01,4.04,3.76,N,-0.744,0.744,6.203,5.955
1983,sz.002068,2021-12-16,2021-12-15,1,16,9,9,9,10.33,10.33,10.33,8.42,7.22,5.78,10.66,10,10.33,-0.097,10.32,10.33,8.42,N,-0.097,3.195,18.393,15.295
1991,sz.002077,2021-12-16,2021-12-07,9,12,-6,-7,7,7.1,7.1,7.75,7.75,7.75,6.47,7.9,7.41,7.29,4.115,7.59,7.75,7.75,N,-2.195,2.058,-2.195,-4.664
2018,sz.002104,2021-12-16,2021-11-30,16,8,4,4,2,6.48,6.48,6.48,5.99,5.44,5.44,6.56,6.37,6.45,-0.775,6.4,6.48,5.99,N,-1.24,1.24,6.357,5.891
2026,sz.002112,2021-12-16,2021-12-15,1,8,6,5,4,8.53,8.53,8.53,7.23,7.23,6.6,9.1,8.19,8.53,-2.345,8.33,8.53,7.23,N,-2.345,6.682,12.896,11.254
2063,sz.002150,2021-12-16,2021-12-01,15,2,5,4,4,6.33,6.33,6.33,5.97,5.91,5.32,6.34,6.24,6.28,0.478,6.31,6.33,5.97,N,-0.318,0.159,5.414,4.299
2065,sz.002152,2021-12-16,2021-12-14,2,26,4,4,5,11.76,11.76,11.76,10.52,10.66,10.52,11.79,11.62,11.72,-0.341,11.68,11.76,10.66,N,-0.683,0.256,8.703,8.191
2083,sz.002170,2021-12-16,2021-12-16,0,2,8,9,9,8.09,8.12,8.12,7.5,6.75,5.93,8.25,7.61,7.6,6.447,8.09,8.12,7.5,Y,-0.395,1.711,7.763,1.447
2090,sz.002177,2021-12-16,2021-12-14,2,8,6,7,6,6.87,6.87,6.87,6.31,5.6,5.59,6.95,6.68,6.86,-1.312,6.77,6.87,6.31,N,-1.458,1.166,6.706,5.394
2093,sz.002180,2021-12-16,2021-12-09,7,14,9,9,9,48.15,48.15,48.15,42.62,36.3,35.14,48.78,46.67,47.43,-0.485,47.2,48.15,42.62,N,-2.003,1.328,9.656,8.539
2095,sz.002182,2021-12-16,2021-12-10,6,16,8,8,8,24.26,24.26,24.26,21.12,16.09,16.09,24.38,23.39,24.07,-0.831,23.87,24.26,21.12,N,-1.62,0.499,11.425,9.431
2102,sz.002189,2021-12-16,2021-12-09,7,13,9,8,7,23.7,23.7,23.7,20.58,20.5,19.86,24.06,23.02,22.98,2.959,23.66,23.7,20.58,N,-0.174,1.567,13.403,10.618
2153,sz.002241,2021-12-16,2021-12-13,3,17,9,9,9,57.4,57.4,57.4,51.73,51.73,47,57.74,56.4,56.7,1.164,57.36,57.4,51.73,N,-0.071,0.6,9.929,8.236
2158,sz.002246,2021-12-16,2021-12-14,2,15,8,7,6,8.12,8.12,8.12,7,7,6.46,8.15,7.8,7.86,0.763,7.92,8.12,7,N,-2.545,0.382,11.705,10.178
2167,sz.002255,2021-12-16,2021-12-16,0,9,8,8,9,6.92,6.92,7,6.16,6.16,5.57,7.05,6.47,6.51,6.298,6.92,7,6.16,Y,-1.229,0.768,11.674,4.762
2194,sz.002284,2021-12-16,2021-12-02,14,14,9,9,9,10.44,10.44,10.44,8,6.52,6.52,10.47,9.97,10.43,-4.027,10.01,10.44,8,N,-4.123,0.288,19.271,18.888
2211,sz.002301,2021-12-16,2021-12-15,1,16,3,3,1,8.48,8.48,8.48,6.84,6.84,6.48,8.89,8.26,8.48,-0.354,8.45,8.48,6.84,N,-0.354,4.835,18.986,16.745
2216,sz.002306,2021-12-16,2021-12-15,1,16,7,6,7,3.35,3.35,3.35,2.71,2.71,2.71,3.38,3.27,3.35,-1.791,3.29,3.35,2.71,N,-1.791,0.896,17.313,16.716
2226,sz.002316,2021-12-16,2021-12-15,1,5,2,2,1,4.26,4.31,4.31,3.94,3.58,3.58,4.43,4.18,4.26,-1.408,4.2,4.31,3.94,N,-2.582,2.817,6.103,5.634
2230,sz.002320,2021-12-16,2021-12-14,2,15,1,2,1,6.19,6.19,6.19,5.75,5.75,5.46,6.23,6.05,6.18,-1.133,6.11,6.19,5.75,N,-1.294,0.647,5.825,4.854
2249,sz.002339,2021-12-16,2021-12-15,1,8,9,9,8,7.99,7.99,7.99,7.22,6.67,6.67,8.1,7.85,7.99,-1.001,7.91,7.99,7.22,N,-1.001,1.377,8.636,7.885
2258,sz.002348,2021-12-16,2021-12-15,1,16,1,1,1,2.15,2.15,2.15,1.99,1.98,1.91,2.17,2.13,2.15,-0.93,2.13,2.15,1.99,N,-0.93,0.93,6.512,6.512
2264,sz.002354,2021-12-16,2021-12-15,1,16,9,9,9,5.23,5.23,5.23,3.23,3.23,3.23,5.45,4.88,5.23,-1.912,5.13,5.23,3.23,N,-1.912,4.207,36.329,31.549
2272,sz.002362,2021-12-16,2021-12-14,2,7,1,1,2,16.78,16.78,16.78,15.62,15.62,15,16.83,16.51,16.59,0.663,16.7,16.78,15.62,N,-0.482,0.301,6.51,5.365
2294,sz.002384,2021-12-16,2021-12-15,1,9,6,5,5,27.18,27.18,27.18,23.14,23.14,23.14,27.68,26.5,27.18,-1.104,26.88,27.18,23.14,N,-1.104,1.84,13.76,12.362
2297,sz.002387,2021-12-16,2021-12-15,1,8,2,1,1,9.4,9.4,9.4,8.52,8.49,7.72,9.5,9.24,9.4,-0.957,9.31,9.4,8.52,N,-0.957,1.064,8.404,7.66
