index,cls,afs5_3,afs7_3,afs9_3,afs5_4,afs7_4,afs9_4,afs5_5,afs7_5,afs9_5,cnt,ar5_3,ar7_3,ar9_3,ar5_4,ar7_4,ar9_4,ar5_5,ar7_5,ar9_5,kpi5_3,kpi7_3,kpi9_3,kpi5_4,kpi7_4,kpi9_4,kpi5_5,kpi7_5,kpi9_5
73,32451,342,487,605,189,279,344,134,196,246,930,0.37,0.52,0.65,0.2,0.3,0.37,0.14,0.21,0.26,17.32,68.48,166.15,1.51,7.53,17.42,0.37,1.82,4.32
74,32514,163,217,274,116,154,184,88,117,139,262,0.62,0.83,1.05,0.44,0.59,0.7,0.34,0.45,0.53,38.85,124.08,317.19,9.88,31.63,63.11,3.46,10.66,20.69
75,32541,481,674,857,284,396,502,200,277,347,1285,0.37,0.52,0.67,0.22,0.31,0.39,0.16,0.22,0.27,24.36,94.77,257.75,3.02,11.8,29.78,0.82,2.95,6.83
76,3412,1931,2692,3435,1140,1576,2039,799,1089,1405,4967,0.39,0.54,0.69,0.23,0.32,0.41,0.16,0.22,0.28,114.54,423.89,1128.43,13.87,51.64,140.53,3.27,11.6,30.84
77,34125,1265,1670,2033,727,963,1188,455,621,763,1729,0.73,0.97,1.18,0.42,0.56,0.69,0.26,0.36,0.44,492.11,1524.16,3340.28,53.86,169.12,390.27,8,28.97,65
78,34152,243,324,413,167,212,274,126,156,198,392,0.62,0.83,1.05,0.43,0.54,0.7,0.32,0.4,0.51,57.91,185.26,478.1,13.28,33.38,93.98,4.13,9.98,26.26
79,3421,5387,7508,9730,3006,4259,5607,2040,2866,3758,14136,0.38,0.53,0.69,0.21,0.3,0.4,0.14,0.2,0.27,295.6,1117.77,3196.39,27.84,114.99,358.85,5.6,22.93,73.97
80,34215,1247,1667,1998,786,1038,1245,549,739,875,1610,0.77,1.04,1.24,0.49,0.64,0.77,0.34,0.46,0.54,569.3,1875.15,3809.43,92.47,272.11,568.38,21.58,71.93,137.78
81,34251,215,300,397,145,203,267,105,142,181,483,0.45,0.62,0.82,0.3,0.42,0.55,0.22,0.29,0.37,19.59,71.5,218.89,3.92,15.04,44.42,1.12,3.46,9.17
82,34512,774,1021,1289,485,619,778,343,437,544,1740,0.44,0.59,0.74,0.28,0.36,0.45,0.2,0.25,0.31,65.93,209.69,522.33,10.65,28.88,70.9,2.74,6.83,16.21
83,34521,1495,2097,2726,781,1105,1472,488,697,937,4454,0.34,0.47,0.61,0.18,0.25,0.33,0.11,0.16,0.21,58.76,217.72,618.75,4.55,17.27,52.9,0.65,2.85,8.68
84,35124,467,615,749,271,355,445,173,222,283,722,0.65,0.85,1.04,0.38,0.49,0.62,0.24,0.31,0.39,128.25,377.69,842.52,14.87,41.77,106.06,2.39,6.61,16.79
85,35142,241,339,432,174,232,293,137,179,225,412,0.58,0.82,1.05,0.42,0.56,0.71,0.33,0.43,0.55,47.02,186.91,500.09,12.89,40.74,104.87,4.92,14.23,37.43
86,35214,599,823,1050,372,510,628,254,342,430,995,0.6,0.83,1.06,0.37,0.51,0.63,0.26,0.34,0.43,129.38,470.58,1250.57,18.84,67.65,157.03,4.46,13.44,34.19
87,35241,314,423,567,214,293,392,130,180,249,717,0.44,0.59,0.79,0.3,0.41,0.55,0.18,0.25,0.35,26.75,86.88,279.55,5.78,20.19,65.22,0.76,2.81,10.68
88,35412,1148,1609,2078,620,889,1160,444,624,813,2938,0.39,0.55,0.71,0.21,0.3,0.39,0.15,0.21,0.28,68.1,267.7,743.74,5.74,24,68.81,1.5,5.78,17.85
89,35421,2049,2899,3815,1086,1596,2161,677,1005,1378,6544,0.31,0.44,0.58,0.17,0.24,0.33,0.1,0.15,0.21,61.04,246.95,744.35,5.34,22.06,77.66,0.68,3.39,12.76
