index,cls,kpi5_3,afr5_3,kpi7_3,afr7_3,kpi9_3,afr9_3,kpi5_4,afr5_4,kpi7_4,afr7_4,kpi9_4,afr9_4,kpi5_5,afr5_5,kpi7_5,afr7_5,kpi9_5,afr9_5
29,15432,31.64,-0.855,152.62,-0.811,501.92,-0.768,3.56,-0.894,15.63,-0.874,56.31,-0.83,0.69,-0.907,2.88,-0.89,11.05,-0.835
30,2134,2890.92,1.359,9856.47,1.177,23462.14,1.034,356.61,1.1,1089.63,0.93,2552.02,0.905,68.39,0.98,206.1,1.15,442.3,1.059
31,21345,2223.03,1.359,7447.37,1.177,16994.44,1.034,193.85,1.1,644.88,0.93,1355.4,0.905,24.76,0.98,84.11,1.15,176.92,1.059
32,21354,174.87,-0.196,676.38,-0.161,1932.54,-0.109,19.84,-0.409,79.42,-0.359,210.66,-0.364,4.44,-0.404,14.05,-0.464,35.1,-0.475
33,2143,122,-0.439,480.61,-0.404,1271.63,-0.413,17.33,-0.484,73.15,-0.409,193.99,-0.415,4.95,-0.336,19.54,-0.255,49,-0.268
34,21435,791.91,1.359,2472.72,1.177,5798.83,1.034,97.78,1.1,327.99,0.93,749.67,0.905,12.87,0.728,49,0.869,115.24,0.722
35,21453,47.85,-0.78,197.93,-0.754,654.72,-0.698,4.55,-0.864,21.18,-0.829,65.34,-0.803,0.86,-0.885,3.67,-0.86,12.11,-0.819
36,21534,157.26,-0.277,540.37,-0.33,1331.25,-0.386,18.51,-0.449,62.78,-0.493,167.38,-0.495,3.93,-0.472,12.93,-0.507,32.03,-0.521
37,21543,43.13,-0.802,190.83,-0.763,564.72,-0.74,4.99,-0.851,22.12,-0.821,77.86,-0.765,1.08,-0.855,4.86,-0.815,14.78,-0.779
38,2314,519.56,1.359,1532.93,0.902,3455.12,0.594,77.75,1.1,215.65,0.741,456.35,0.377,12.59,0.69,38.7,0.476,85.6,0.279
39,23145,548.98,1.359,1603.48,0.989,3573.69,0.648,63.05,0.878,176.83,0.428,372.76,0.125,11.78,0.581,31.78,0.212,63.49,-0.051
40,23154,74.82,-0.656,264.97,-0.671,716.84,-0.669,9.24,-0.725,33.79,-0.727,88.08,-0.734,1.7,-0.772,5.99,-0.772,13.8,-0.794
41,2341,426.32,0.959,1634.69,1.028,4206.27,0.94,49.06,0.461,189.51,0.53,512.3,0.546,12.94,0.737,48.55,0.852,117.05,0.749
42,23415,312.41,0.436,799.42,-0.008,1391,-0.358,43.19,0.287,101.24,-0.183,166.97,-0.496,6.38,-0.144,14.75,-0.437,26.34,-0.606
43,23451,24.96,-0.885,92.88,-0.885,249.3,-0.885,2.38,-0.929,10.34,-0.917,27.76,-0.916,0.43,-0.942,1.93,-0.926,5,-0.925
44,23514,70.01,-0.678,233.37,-0.71,545.24,-0.749,9.38,-0.721,28.25,-0.772,61.74,-0.814,1.72,-0.769,5.28,-0.799,9.44,-0.859
45,23541,36.83,-0.831,119.92,-0.851,340.02,-0.843,3.21,-0.904,9.45,-0.924,25.85,-0.922,0.5,-0.933,1.27,-0.952,3.99,-0.94
46,2413,76.7,-0.648,252.63,-0.687,661.66,-0.695,13.8,-0.589,39.68,-0.68,98.71,-0.702,2.26,-0.697,6.78,-0.741,17.73,-0.735
47,24135,191.17,-0.122,511.66,-0.365,1308.37,-0.397,16.51,-0.508,47.22,-0.619,132.03,-0.602,2.13,-0.714,6.32,-0.759,18.77,-0.719
48,24153,26.93,-0.876,85.47,-0.894,208.49,-0.904,2.98,-0.911,8.06,-0.935,18.35,-0.945,0.88,-0.882,1.98,-0.924,5.27,-0.921
49,2431,200.23,-0.08,776.3,-0.037,2122.18,-0.021,20.52,-0.389,75.51,-0.39,200.69,-0.394,4.06,-0.455,14.12,-0.461,41.08,-0.386
50,24315,285.93,0.314,721.07,-0.105,1537.22,-0.291,49.11,0.463,114.73,-0.074,241.13,-0.272,9.41,0.263,23.37,-0.109,45.65,-0.318
51,24351,14,-0.936,68.09,-0.916,172.33,-0.921,1.73,-0.948,9.05,-0.927,22.49,-0.932,0.39,-0.948,1.98,-0.924,4.32,-0.935
52,24513,51.96,-0.761,175.8,-0.782,360.64,-0.834,6.98,-0.792,22.26,-0.82,51.36,-0.845,2.18,-0.707,5.99,-0.772,10.96,-0.836
53,24531,26.11,-0.88,120.36,-0.851,340.76,-0.843,2.07,-0.938,8.99,-0.927,23.1,-0.93,0.33,-0.956,1.61,-0.939,4.24,-0.937
54,25134,41.1,-0.811,130.64,-0.838,392.68,-0.819,6.45,-0.808,16.7,-0.865,55.22,-0.833,1.35,-0.819,4.44,-0.831,15.04,-0.775
55,25143,18.84,-0.913,70.51,-0.913,174.13,-0.92,2.92,-0.913,11.39,-0.908,31.22,-0.906,0.55,-0.926,2.56,-0.902,7.04,-0.895
56,25314,92.23,-0.576,323.64,-0.598,869,-0.599,16.16,-0.519,54.38,-0.561,128.46,-0.612,3.99,-0.464,13.08,-0.501,27.12,-0.595
57,25341,17.82,-0.918,83.07,-0.897,316.48,-0.854,2.42,-0.928,12.65,-0.898,42.92,-0.871,0.52,-0.93,2.5,-0.905,7.51,-0.888
58,25413,41.55,-0.809,147.05,-0.818,372.52,-0.828,3.95,-0.882,13.36,-0.892,37.31,-0.887,1.05,-0.859,3.36,-0.872,8.1,-0.879
59,25431,41.03,-0.811,177.89,-0.779,550.62,-0.746,4.01,-0.881,19.16,-0.845,64.36,-0.806,0.64,-0.914,3.24,-0.876,10.15,-0.848
60,3124,3475.3,1.359,11882.33,1.177,28454.26,1.034,475.64,1.1,1496.42,0.93,3268.52,0.905,94.92,0.98,288.06,1.15,622.57,1.059
61,31245,1941.72,1.359,6644.66,1.177,15732.03,1.034,208.58,1.1,690.95,0.93,1460.46,0.905,43.03,0.98,122.67,1.15,232.75,1.059
62,31254,156.13,-0.283,600.94,-0.254,1516.96,-0.3,20.36,-0.394,77.42,-0.375,185.18,-0.441,4.79,-0.357,15.21,-0.42,33.53,-0.499
63,3142,79.87,-0.633,311.6,-0.613,968.35,-0.553,12.94,-0.615,48.86,-0.606,143.21,-0.568,2.6,-0.651,10.1,-0.615,28.35,-0.576
64,31425,513.41,1.359,1490.72,0.849,3350.59,0.545,117.89,1.1,327.48,0.93,645.17,0.905,24.83,0.98,61.63,1.15,126.79,0.895
65,31452,44.87,-0.794,158.78,-0.803,394.43,-0.818,6.17,-0.816,23.31,-0.812,57.88,-0.825,1.98,-0.734,6.28,-0.76,15.22,-0.773
66,31524,161.79,-0.257,576.32,-0.285,1277.64,-0.411,41.85,0.247,139.7,0.128,284.22,-0.142,9.25,0.242,31.26,0.192,58.15,-0.131
67,31542,49.84,-0.771,186.91,-0.768,483.08,-0.777,5.94,-0.823,23.16,-0.813,64.24,-0.806,1.77,-0.762,6.78,-0.741,17.02,-0.746
68,3214,4006.55,1.359,12640,1.177,28105.7,1.034,615.15,1.1,1867.06,0.93,3997.69,0.905,117.82,0.98,360.73,1.15,786.75,1.059
69,32145,1239.17,1.359,3792.06,1.177,8808.2,1.034,139.69,1.1,400.76,0.93,874.44,0.905,29.17,0.98,77.8,1.15,155.46,1.059
70,32154,117.55,-0.46,413.39,-0.487,1067.99,-0.507,13.01,-0.612,41.92,-0.662,117.97,-0.644,2.61,-0.65,8.68,-0.669,21.58,-0.677
71,3241,384.84,0.768,1649.53,1.046,4442.26,1.034,70.51,1.1,300.36,0.93,819.4,0.905,17.32,0.98,70.35,1.15,197.2,1.059
72,32415,359.53,0.652,1074.68,0.333,2265,0.045,64.58,0.924,181.83,0.468,345.51,0.042,11.96,0.605,35.63,0.359,69.62,0.041
73,32451,17.32,-0.92,68.48,-0.915,166.15,-0.923,1.51,-0.955,7.53,-0.939,17.42,-0.947,0.37,-0.95,1.82,-0.931,4.32,-0.935
74,32514,38.85,-0.821,124.08,-0.846,317.19,-0.854,9.88,-0.706,31.63,-0.745,63.11,-0.81,3.46,-0.536,10.66,-0.593,20.69,-0.691
75,32541,24.36,-0.888,94.77,-0.882,257.75,-0.881,3.02,-0.91,11.8,-0.905,29.78,-0.91,0.82,-0.89,2.95,-0.887,6.83,-0.898
76,3412,114.54,-0.474,423.89,-0.474,1128.43,-0.48,13.87,-0.587,51.64,-0.583,140.53,-0.576,3.27,-0.561,11.6,-0.558,30.84,-0.539
77,34125,492.11,1.261,1524.16,0.891,3340.28,0.541,53.86,0.604,169.12,0.365,390.27,0.177,8,0.074,28.97,0.105,65,-0.029
78,34152,57.91,-0.734,185.26,-0.77,478.1,-0.779,13.28,-0.604,33.38,-0.731,93.98,-0.716,4.13,-0.446,9.98,-0.619,26.26,-0.608
79,3421,295.6,0.358,1117.77,0.387,3196.39,0.474,27.84,-0.171,114.99,-0.072,358.85,0.083,5.6,-0.248,22.93,-0.125,73.97,0.106
80,34215,569.3,1.359,1875.15,1.177,3809.43,0.757,92.47,1.1,272.11,0.93,568.38,0.715,21.58,0.98,71.93,1.15,137.78,1.059
81,34251,19.59,-0.91,71.5,-0.911,218.89,-0.899,3.92,-0.883,15.04,-0.879,44.42,-0.866,1.12,-0.85,3.46,-0.868,9.17,-0.863
82,34512,65.93,-0.697,209.69,-0.74,522.33,-0.759,10.65,-0.683,28.88,-0.767,70.9,-0.786,2.74,-0.632,6.83,-0.74,16.21,-0.758
83,34521,58.76,-0.73,217.72,-0.73,618.75,-0.715,4.55,-0.864,17.27,-0.861,52.9,-0.84,0.65,-0.913,2.85,-0.891,8.68,-0.87
84,35124,128.25,-0.411,377.69,-0.531,842.52,-0.611,14.87,-0.557,41.77,-0.663,106.06,-0.68,2.39,-0.679,6.61,-0.748,16.79,-0.749
85,35142,47.02,-0.784,186.91,-0.768,500.09,-0.769,12.89,-0.616,40.74,-0.671,104.87,-0.684,4.92,-0.34,14.23,-0.457,37.43,-0.441
86,35214,129.38,-0.405,470.58,-0.416,1250.57,-0.423,18.84,-0.439,67.65,-0.454,157.03,-0.526,4.46,-0.401,13.44,-0.487,34.19,-0.489
87,35241,26.75,-0.877,86.88,-0.892,279.55,-0.871,5.78,-0.828,20.19,-0.837,65.22,-0.803,0.76,-0.898,2.81,-0.893,10.68,-0.84
88,35412,68.1,-0.687,267.7,-0.668,743.74,-0.657,5.74,-0.829,24,-0.806,68.81,-0.792,1.5,-0.799,5.78,-0.78,17.85,-0.733
89,35421,61.04,-0.719,246.95,-0.694,744.35,-0.657,5.34,-0.841,22.06,-0.822,77.66,-0.766,0.68,-0.909,3.39,-0.871,12.76,-0.809
90,4123,933.24,1.359,3674.3,1.177,10171.53,1.034,159.9,1.1,615.46,0.93,1657.37,0.905,40.65,0.98,145.68,1.15,379.37,1.059
91,41235,1562.93,1.359,5240.73,1.177,12508.97,1.034,233.06,1.1,717.87,0.93,1560.96,0.905,52.86,0.98,138.1,1.15,291.34,1.059
